Country,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,ISO_Code
Afghanistan,692,445,665,963,944,1044,1082,1082,1096,1099,1112,1102,4
Albania,3032,3865,5321,7446,7672,8366,8374,8374,9115,9186,9423,9780,8
Algeria,1820,2063,2738,3654,3855,4081,4182,4182,4072,4186,4093,4104,12
Angola,2424,2621,3828,4922,4902,5185,5329,5329,5462,5136,5054,4720,24
Argentina,9107,9352,8684,12214,12778,12676,12797,12797,12671,12406,12680,12085,32
Armenia,1574,1766,3511,4344,5069,5431,5599,5599,5911,5682,6193,6341,51
Australia,21060,25310,28355,31708,32083,33196,33768,33768,34832,35366,35586,35897,36
Austria,23695,24132,26373,33291,30325,30569,30646,30646,30603,31404,31931,32617,40
Azerbaijan,2625,3430,4456,10466,9578,9260,9835,9835,11048,9780,9881,9850,31
Bahamas,24513,25827,25458,23499,23423,24105,23833,23833,23043,22181,22649,22827,44
Bahrain,19977,21799,25514,27568,26208,16254,17045,17045,19272,18973,19077,18418,48
Bangladesh,533,650,813,1223,1309,1410,1668,1668,1880,2011,2210,2373,50
Barbados,10174,11827,12334,13366,12781,13166,13279,13279,13416,13541,13780,13686,52
Belarus,4353,6196,9168,12850,13237,13519,13473,13473,13201,13061,13515,13923,112
Belgium,22625,27009,29283,32583,31936,32278,32670,32670,33214,33629,34453,34929,56
Belize,2907,3428,4213,4794,4959,5576,5488,5488,5704,5782,5609,5665,84
Benin,1052,1271,1406,1588,1573,1595,1664,1664,1714,1742,1791,1863,204
Bhutan,1678,2493,3397,5036,5296,5725,5274,5274,5731,6023,6284,6388,64
Bolivia (Plurinational State of),2779,3052,3272,3555,3740,3705,3923,3923,4514,4807,4751,4901,68
Bosnia and Herzegovina,1057,4634,5655,6691,7293,6805,7113,7113,7579,7784,8123,8433,70
Botswana,7052,7834,7906,10824,12236,12776,13520,13520,13609,13588,13826,14177,72
Brazil,7409,7814,9796,10876,11888,12484,11715,11715,12689,10186,10366,10432,76
Brunei Darussalam,53203,56916,58788,59977,65948,66291,65440,65440,67488,65897,66138,65913,96
Bulgaria,6699,6605,9992,11942,12192,12428,12540,12540,13206,14102,15016,15622,100
Burkina Faso,706,815,921,1056,1084,1149,1192,1192,1209,1239,1287,1336,854
Burundi,727,643,601,670,843,859,879,879,827,796,774,763,108
Cabo Verde,1557,2602,3310,4489,4660,4704,4757,4757,4813,4995,5151,5523,132
Cambodia,920,1405,1567,2056,2060,2300,2420,2420,2649,2830,2976,3128,116
Cameroon,1819,1971,2218,2347,2377,2407,2460,2460,2628,2672,2693,2724,120
Canada,22372,26805,30528,31599,32544,32842,33473,33473,33905,34274,35012,35120,124
Central African Republic,685,653,648,796,819,856,542,542,562,584,605,622,140
Chad,791,741,1147,1465,1429,1510,1511,1511,1599,1470,1392,1377,148
Chile,6175,7743,9421,11768,12750,13586,14078,14078,14733,14929,14801,15212,152
China,1973,2855,4383,7511,8141,8796,9368,9368,10658,11294,11983,12665,156
Colombia,5629,5894,6366,8243,8773,9095,9522,9522,10254,10362,10270,10235,170
Comoros,1430,1485,1562,1748,1791,1801,1854,1854,1847,1859,1877,1812,174
Congo,3287,2943,2460,3483,3410,4065,4371,4371,6539,5798,5210,4989,178
Costa Rica,4773,5553,7576,8910,9403,10044,10097,10097,10429,10225,10396,10565,188
Croatia,8988,12295,16223,16853,16547,16287,16609,16609,17677,17869,18853,19442,191
Cuba,1891,2308,3074,4347,4487,4582,4703,4703,4921,4922,4989,5035,192
Cyprus,15907,18387,22665,26014,26670,24593,23297,23297,26213,26312,26951,27792,196
Czechia,13864,15197,17835,18774,19604,19840,19987,19987,21420,22148,23255,24114,203
C̫te d'Ivoire,1570,1608,1596,1177,1110,1222,1301,1301,1522,1671,1701,1790,384
Denmark,27635,32357,35323,36962,37919,38064,38794,38794,39378,40102,40607,41027,208
