Country,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,ISO_Code
Afghanistan,1756,1167,1699,2353,2275,2472,2509,2509,2432,2396,2386,2355,4
Albania,5338,7219,9769,12176,12702,12176,12898,12898,13010,13794,14150,14727,8
Algeria,15808,17133,20250,22062,21790,21570,21541,21541,22403,23284,23024,22980,12
Angola,3294,3567,5214,6734,6710,7093,7280,7280,7439,6986,6865,6407,24
Argentina,18633,20200,19390,24678,26077,25542,26002,26002,25457,24394,24541,23418,32
Armenia,2827,4409,7955,10150,9770,10473,11078,11078,11380,11269,12294,12582,51
Australia,38073,43798,47018,48252,48483,49952,50665,50665,51717,52003,51990,52363,36
Austria,44339,53739,56866,54650,59600,59312,58844,58844,57604,58366,59314,60303,40
Azerbaijan,4274,5468,9993,20475,19859,20938,21935,21935,21519,20555,20777,20655,31
Bahamas,38462,39123,39213,35026,34833,35755,35255,35255,34828,33737,33805,34290,44
Bahrain,60104,61366,54223,43083,41039,48346,50429,50429,56296,55185,54954,52952,48
Bangladesh,2471,2790,3291,4174,4364,4592,4604,4604,4956,5186,5334,5700,50
Barbados,15902,18269,18535,18592,17989,18508,18140,18140,18018,18391,18445,18292,52
Belarus,6678,9079,13600,19578,20934,21155,21070,21070,20184,19369,20019,20616,112
Belgium,44538,49766,51700,52542,51819,52332,51036,51036,50269,51165,52394,52926,56
Belize,8912,9481,9865,9421,9678,8973,8886,8886,9349,8768,8519,8618,84
Benin,1930,2058,2059,2025,2065,2089,2177,2177,2229,2261,2319,2407,204
Bhutan,3179,4324,5522,7699,8185,8076,8736,8736,9665,10147,10420,10579,64
Bolivia (Plurinational State of),5157,5491,5664,6647,6755,6996,7311,7311,7988,8246,8511,8780,68
Bosnia and Herzegovina,2151,9502,11825,13273,12923,13573,14227,14227,15273,15998,16484,17122,70
Botswana,11622,12424,13702,14605,15924,16479,17250,17250,17356,17255,17499,17853,72
Brazil,14446,14427,14269,17604,17529,17370,19095,19095,16348,17747,17704,17827,76
Brunei Darussalam,117078,107442,107031,99508,93647,93123,91024,91024,89831,88186,87388,86072,96
Bulgaria,9909,10784,15067,18171,18335,18883,18821,18821,20312,21620,22954,23904,100
Burkina Faso,1087,1331,1621,1728,1758,1843,1888,1888,1883,1927,1996,2077,854
Burundi,901,818,765,790,621,630,641,641,602,579,563,555,108
Cabo Verde,3370,5081,5948,6873,7063,6955,6937,6937,6746,6976,7170,7497,132
Cambodia,1258,1267,2229,2782,3032,3032,3272,3272,3543,3687,3882,4089,116
Cameroon,2659,2859,3194,3350,3393,3432,3505,3505,3730,3786,3807,3858,120
Canada,40410,46742,49306,48524,49346,49690,50300,50300,51372,51248,52118,52218,124
Central African Republic,1084,1030,1024,1182,1225,1284,821,821,853,882,909,935,140
Chad,1285,1217,1884,2237,2182,2297,2289,2289,2401,2203,2081,2056,148
Chile,17485,20144,22000,24410,25678,27122,28063,28063,28793,28836,28229,28932,152
China,3044,4406,6879,11299,12262,13261,14147,14147,16162,17171,18273,19410,156
Colombia,11703,10707,12007,12986,13627,14082,14571,14571,15758,15921,15760,15657,170
Comoros,3211,3285,3161,3089,3125,3146,3202,3202,3150,3139,3142,3030,174
Congo,4737,4202,3499,4624,4547,5424,5849,5849,8728,7735,6929,6621,178
Costa Rica,12667,13045,13448,16047,16285,16624,16711,16711,17470,18558,18842,19016,188
Croatia,16749,18571,23426,23754,24116,23456,23425,23425,24358,24827,26278,26959,191
Cuba,4722,5797,7216,8879,9180,9491,9743,9743,10247,10305,10499,10625,192
Cyprus,32442,35189,40847,39767,39643,36860,34159,34159,35887,36389,37475,38403,196
Czechia,24597,26616,31667,33980,33881,33927,33594,33594,35826,36518,38050,39326,203
C̫te d'Ivoire,3756,3751,3522,3926,3649,3958,4145,4145,4695,5066,5115,5355,384
Denmark,45777,50660,54718,52610,52867,52714,53261,53261,55135,55438,56153,56731,208
Djibouti,2725,2492,2740,3010,3052,3134,3345,3345,3817,4050,4068,4232,262
Dominican Republic,9251,11353,11931,14689,14500,14532,15026,15026,16692,17453,17888,18975,214
Ecuador,10224,9371,11072,12169,12949,13381,13894,13894,13798,13090,13067,12960,218
Egypt,10125,12436,13235,15901,14805,14784,15163,15163,15634,16322,16571,16989,818
El Salvador,7493,7512,7707,7613,7853,8032,7715,7715,8341,8514,8772,8943,222
Equatorial Guinea,2472,11836,26841,26840,27622,29450,28501,28501,28745,26204,23826,21808,226
Eritrea,2829,3073,2744,2292,2460,1855,1905,1905,1927,1918,1967,2011,232
Estonia,14659,19065,27156,27247,29544,31386,32793,32793,34511,35675,37407,38653,233
Eswatini (Kingdom of),8316,8789,11119,10882,11489,11883,12122,12122,12026,12055,11895,11798,748
Ethiopia,729,768,971,1358,1470,1551,1667,1667,1904,2025,2148,2231,231
Fiji,8879,9930,10346,9227,9344,9461,10116,10116,11239,11632,11910,12293,242
Finland,32714,42248,47349,46943,48471,46213,46579,46579,45805,47300,47963,48689,246
France,39595,45355,46698,45301,46214,45569,45470,45470,46281,46549,47845,48507,250
Gabon,26605,21959,21882,18179,17908,19384,19987,19987,20892,20918,20765,20182,266
Gambia,1783,1832,1790,2236,2065,2116,2173,2173,2133,2086,2115,2190,270
Georgia,3164,5052,7772,9497,10212,11134,11233,11233,11804,11848,12353,12929,268
Germany,44371,47371,48480,50289,53275,53339,52865,52865,53863,54229,55143,55652,276
Ghana,2333,2495,2894,3430,3772,3953,4297,4297,4454,4478,4696,4889,288
